Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All cases,Chrome 140.0.0.0,,,2025-10-05 18:03:47,2025-10-05 18:05:18,1m - 31.338s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-10-05 18:03:52,2025-10-05 18:03:56,3.543s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-10-05 18:03:52,2025-10-05 18:03:52,0.006s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-10-05 18:03:53,2025-10-05 18:03:53,0.454s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-10-05 18:03:53,2025-10-05 18:03:53,0.218s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-10-05 18:03:53,2025-10-05 18:03:53,0.150s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-10-05 18:03:53,2025-10-05 18:03:54,0.243s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-10-05 18:03:54,2025-10-05 18:03:56,2.037s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-10-05 18:03:56,2025-10-05 18:03:56,0.008s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-10-05 18:03:56,2025-10-05 18:03:58,2.583s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-10-05 18:03:56,2025-10-05 18:03:56,0.000s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-10-05 18:03:56,2025-10-05 18:03:56,0.177s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-10-05 18:03:56,2025-10-05 18:03:56,0.171s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-10-05 18:03:56,2025-10-05 18:03:56,0.104s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-10-05 18:03:56,2025-10-05 18:03:56,0.101s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-10-05 18:03:56,2025-10-05 18:03:58,2.004s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-10-05 18:03:58,2025-10-05 18:03:58,0.005s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-10-05 18:03:58,2025-10-05 18:04:01,2.479s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-10-05 18:03:58,2025-10-05 18:03:58,0.000s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-10-05 18:03:58,2025-10-05 18:03:59,0.136s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-10-05 18:03:59,2025-10-05 18:03:59,0.106s,PASSED
