Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All cases,Chrome 140.0.0.0,,,2025-09-26 19:26:32,2025-09-26 19:28:17,1m - 45.663s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-09-26 19:26:38,2025-09-26 19:26:42,4.035s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 19:26:38,2025-09-26 19:26:38,0.021s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-09-26 19:26:38,2025-09-26 19:26:39,0.885s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 19:26:39,2025-09-26 19:26:39,0.185s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-09-26 19:26:39,2025-09-26 19:26:40,0.147s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-09-26 19:26:40,2025-09-26 19:26:40,0.182s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-09-26 19:26:40,2025-09-26 19:26:42,2.081s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-09-26 19:26:42,2025-09-26 19:26:42,0.092s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-09-26 19:26:42,2025-09-26 19:26:45,3.055s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 19:26:42,2025-09-26 19:26:42,0.019s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-09-26 19:26:42,2025-09-26 19:26:43,0.419s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 19:26:43,2025-09-26 19:26:43,0.168s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-09-26 19:26:43,2025-09-26 19:26:43,0.181s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-09-26 19:26:43,2025-09-26 19:26:43,0.155s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-09-26 19:26:43,2025-09-26 19:26:45,2.022s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-09-26 19:26:45,2025-09-26 19:26:45,0.005s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-09-26 19:26:45,2025-09-26 19:26:48,2.871s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 19:26:45,2025-09-26 19:26:45,0.007s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-09-26 19:26:45,2025-09-26 19:26:46,0.221s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 19:26:46,2025-09-26 19:26:46,0.199s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-09-26 19:26:46,2025-09-26 19:26:46,0.202s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-09-26 19:26:46,2025-09-26 19:26:46,0.186s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-09-26 19:26:46,2025-09-26 19:26:48,2.017s,PASSED
