Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All cases,Chrome 140.0.0.0,,,2025-09-26 14:25:37,2025-09-26 14:27:12,1m - 35.354s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-09-26 14:25:50,2025-09-26 14:25:53,3.119s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 14:25:50,2025-09-26 14:25:50,0.012s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-09-26 14:25:51,2025-09-26 14:25:51,0.298s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 14:25:51,2025-09-26 14:25:51,0.187s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-09-26 14:25:51,2025-09-26 14:25:51,0.157s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-09-26 14:25:51,2025-09-26 14:25:51,0.100s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-09-26 14:25:51,2025-09-26 14:25:53,2.025s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-09-26 14:25:53,2025-09-26 14:25:53,0.010s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-09-26 14:25:53,2025-09-26 14:25:56,2.477s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 14:25:53,2025-09-26 14:25:53,0.002s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-09-26 14:25:53,2025-09-26 14:25:54,0.154s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 14:25:54,2025-09-26 14:25:54,0.102s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-09-26 14:25:54,2025-09-26 14:25:54,0.102s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-09-26 14:25:54,2025-09-26 14:25:54,0.097s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-09-26 14:25:54,2025-09-26 14:25:56,2.006s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-09-26 14:25:56,2025-09-26 14:25:56,0.005s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-09-26 14:25:56,2025-09-26 14:25:58,2.394s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 14:25:56,2025-09-26 14:25:56,0.000s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-09-26 14:25:56,2025-09-26 14:25:56,0.117s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 14:25:56,2025-09-26 14:25:56,0.089s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-09-26 14:25:56,2025-09-26 14:25:56,0.083s,PASSED
