Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All cases,Chrome 140.0.0.0,,,2025-09-26 11:22:36,2025-09-26 11:24:29,1m - 52.652s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-09-26 11:23:00,2025-09-26 11:23:04,4.339s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 11:23:00,2025-09-26 11:23:00,0.032s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-09-26 11:23:01,2025-09-26 11:23:01,0.677s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 11:23:01,2025-09-26 11:23:02,0.400s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-09-26 11:23:02,2025-09-26 11:23:02,0.200s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-09-26 11:23:02,2025-09-26 11:23:02,0.203s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-09-26 11:23:02,2025-09-26 11:23:04,2.067s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-09-26 11:23:04,2025-09-26 11:23:04,0.012s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-09-26 11:23:04,2025-09-26 11:23:08,3.220s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 11:23:04,2025-09-26 11:23:05,0.013s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-09-26 11:23:05,2025-09-26 11:23:05,0.317s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 11:23:05,2025-09-26 11:23:05,0.314s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-09-26 11:23:05,2025-09-26 11:23:05,0.262s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-09-26 11:23:05,2025-09-26 11:23:06,0.246s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-09-26 11:23:06,2025-09-26 11:23:08,2.005s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-09-26 11:23:08,2025-09-26 11:23:08,0.005s,PASSED
,,,,,,,
Test Cases/Visible detail books,Chrome 140.0.0.0,,,2025-09-26 11:23:08,2025-09-26 11:23:11,2.861s,PASSED
Start listener action : beforeCase,Chrome 140.0.0.0,,,2025-09-26 11:23:08,2025-09-26 11:23:08,0.000s,PASSED
"click(findTestObject(""pid-item"", [""index"":index]))",Chrome 140.0.0.0,,,2025-09-26 11:23:08,2025-09-26 11:23:08,0.261s,PASSED
"verifyElementText(findTestObject(""pid-title"", [""index"":index]), title)",Chrome 140.0.0.0,,,2025-09-26 11:23:08,2025-09-26 11:23:08,0.160s,PASSED
"verifyElementText(findTestObject(""pid-author"", [""index"":index]), author)",Chrome 140.0.0.0,,,2025-09-26 11:23:08,2025-09-26 11:23:08,0.202s,PASSED
"verifyElementText(findTestObject(""pid-price"", [""index"":index]), price)",Chrome 140.0.0.0,,,2025-09-26 11:23:08,2025-09-26 11:23:09,0.189s,PASSED
delay(2),Chrome 140.0.0.0,,,2025-09-26 11:23:09,2025-09-26 11:23:11,2.012s,PASSED
Start listener action : afterCase,Chrome 140.0.0.0,,,2025-09-26 11:23:11,2025-09-26 11:23:11,0.006s,PASSED
,,,,,,,
